,Transect,Chain_length,Map_length_m,Real_length_m,2d_area_sqm,3d_area_sqm,chain_roughness,drone_transect_roughness,drone_surface_roughness
0,TinyGiantClam_T1,39.3,20.268174335999998,25.500750946999997,20.113113,29.359369,1.9390004915339605,1.2581671404762875,1.459712825160382
1,TinyGiantClam_T2,32.7,20.091015947,23.631325903,19.95530800000001,27.162091,1.6275931533906718,1.1762135854821538,1.361146167225281
2,SuperCoral,37.0,19.679713315,23.857237341999998,19.505826000000013,28.242221,1.880108688971519,1.2122756546364861,1.44788644172259
3,SuperSeagrass,28.3,18.075686788,21.169448039000002,17.941160999999994,24.576356,1.5656389896503224,1.171155944849292,1.3698308598869386
4,WreckReef,35.3,20.198231711,27.109795819000002,20.016524000000004,33.235546,1.7476777425409742,1.3421865937024553,1.6604054729982085
5,Slope_I,37.8,20.854657578,28.489627285999997,20.71184,35.567354,1.8125447449147274,1.3661038153920244,1.717247429489606
6,Slope_II,35.7,17.902829004,24.007105603000003,17.767940000000003,28.493031,1.9940982507302956,1.3409671509254841,1.603620397187293
7,Slope_III,33.7,18.093513992000002,21.650642255,17.967570000000002,25.206886,1.862545883287258,1.1965968724799823,1.4029101319766668
8,Ngerikuul_I,28.7,18.006110505,21.455540545,17.847938,24.142748,1.5939033580867163,1.1915699694857562,1.3526911624188744
9,Ngerikuul_II,38.3,19.386835415,30.062609768,19.220316999999994,37.309889,1.9755673981926152,1.5506713253850564,1.94116928456487
